date,open,high,low,close,volume,average,barCount
2024-11-04,6353.0,6418.0,6166.0,6343.0,870.0,6315.0,861
2024-11-05,6300.0,6386.0,6197.0,6343.0,790.0,6309.0,781
2024-11-06,6338.0,6338.0,6047.0,6123.0,1097.0,6178.3,1096
2024-11-07,6155.0,6565.0,6134.0,6538.0,1489.0,6376.3,1486
2024-11-08,6569.0,6633.0,6371.0,6412.0,1605.0,6494.9,1600
2024-11-11,6437.0,6667.0,6371.0,6585.0,1272.0,6541.3,1264
2024-11-12,6609.0,6996.0,6597.0,6920.0,2484.0,6845.6,2472
2024-11-13,6976.0,7435.0,6934.0,7141.0,2699.0,7220.0,2689
2024-11-14,7247.0,7714.0,7178.0,7535.0,1890.0,7376.1,1864
2024-11-15,7691.0,7785.0,7585.0,7647.0,2357.0,7675.2,2326
2024-11-18,7652.0,7684.0,7297.0,7465.0,2086.0,7434.7,2067
2024-11-19,7437.0,7724.0,7373.0,7660.0,1496.0,7567.2,1490
2024-11-20,7713.0,7842.0,7573.0,7651.0,1359.0,7684.1,1319
2024-11-21,7667.0,7836.0,7635.0,7746.0,1266.0,7746.3,1260
2024-11-22,7817.0,8337.0,7784.0,8153.0,1945.0,8087.8,1937
2024-11-25,8063.0,8317.0,8054.0,8134.0,1467.0,8169.8,1455
2024-11-26,8157.0,8419.0,8036.0,8386.0,666.0,8268.5,665
2024-11-27,8302.0,8471.0,8223.0,8251.0,950.0,8313.3,949
2024-11-29,8364.0,8678.0,8350.0,8608.0,1538.0,8513.8,1524
2024-12-02,8601.0,8741.0,8475.0,8553.0,1344.0,8591.8,1294
2024-12-03,8606.0,8682.0,8070.0,8169.0,1818.0,8294.8,1800
2024-12-04,8200.0,8556.0,8171.0,8494.0,1061.0,8404.4,1057
2024-12-05,8546.0,9087.0,8546.0,8967.0,936.0,8913.9,905
2024-12-06,8937.0,9179.0,8900.0,8961.0,1405.0,9021.6,1383
2024-12-09,8997.0,9553.0,8969.0,9218.0,1661.0,9265.8,1650
2024-12-10,9468.0,9754.0,9362.0,9634.0,972.0,9567.6,965
2024-12-11,9738.0,9738.0,9314.0,9670.0,1404.0,9531.9,1400
2024-12-12,9586.0,9984.0,9535.0,9928.0,991.0,9846.1,952
2024-12-13,9887.0,10434.0,9787.0,10371.0,976.0,10198.7,970
2024-12-16,10366.0,10966.0,10366.0,10916.0,1363.0,10761.0,1355
2024-12-17,10834.0,11032.0,10641.0,10788.0,1814.0,10852.0,1730
2024-12-18,10986.0,11526.0,10926.0,11279.0,1530.0,11135.3,1510
2024-12-19,11252.0,11306.0,10367.0,10761.0,2618.0,10915.7,2583
2024-12-20,10502.0,11017.0,10138.0,10575.0,1886.0,10665.9,1883
2024-12-23,10412.0,10572.0,10062.0,10260.0,1030.0,10351.2,1011
2024-12-24,10050.0,10505.0,10001.0,10447.0,844.0,10182.8,796
2024-12-26,10523.0,10581.0,9591.0,9736.0,1048.0,9888.0,997
2024-12-27,9857.0,9961.0,8875.0,9132.0,2023.0,9382.0,1967
2024-12-30,9102.0,10267.0,9102.0,10195.0,1871.0,9737.6,1834
2024-12-31,9897.0,10586.0,9878.0,10421.0,1940.0,10335.2,1908
2025-01-02,10373.0,10487.0,9734.0,10042.0,772.0,10092.8,761
2025-01-03,10177.0,10521.0,9969.0,10203.0,592.0,10162.8,585
2025-01-06,10334.0,10711.0,10013.0,10307.0,1035.0,10426.8,1032
2025-01-07,10203.0,10432.0,10111.0,10158.0,809.0,10235.0,766
2025-01-08,10028.0,10102.0,9392.0,9525.0,1232.0,9614.7,1220
2025-01-09,10010.0,10283.0,9598.0,9787.0,1496.0,9970.4,1482
2025-01-10,9663.0,9833.0,9472.0,9495.0,711.0,9560.2,706
2025-01-13,9406.0,9811.0,9367.0,9778.0,719.0,9594.0,717
2025-01-14,9858.0,10066.0,9624.0,9784.0,706.0,9867.5,704
2025-01-15,9733.0,9983.0,9597.0,9698.0,905.0,9776.2,888
2025-01-16,9570.0,9824.0,9476.0,9635.0,1482.0,9633.5,1423
2025-01-17,9689.0,10370.0,9679.0,10340.0,2130.0,10181.8,2098
2025-01-21,10415.0,10820.0,10415.0,10752.0,1776.0,10678.7,1743
2025-01-22,10748.0,11122.0,10649.0,11053.0,1176.0,10918.5,1148
2025-01-23,11064.0,11156.0,10923.0,11010.0,1835.0,11034.4,1790
2025-01-24,10900.0,11130.0,10787.0,11068.0,1368.0,11005.9,1349
2025-01-27,10971.0,11089.0,10815.0,10872.0,1043.0,10922.2,995
2025-01-28,10867.0,10941.0,10670.0,10847.0,1364.0,10822.3,1357
2025-01-29,10915.0,11170.0,10915.0,11157.0,1541.0,11080.4,1501
2025-01-30,11117.0,11145.0,10539.0,10693.0,2046.0,10744.0,2007
